Asteroids	platforms	Arcade, [[#Ports
Arch Rivals	platforms	PlayStation 2
Arch Rivals	platforms	Xbox
Arch Rivals	platforms	Nintendo Gamecube
Arch Rivals	platforms	Personal computer
Summoner	platforms	PlayStation 2
Summoner	platforms	Mac OS
Summoner	platforms	Microsoft Windows
Phantasmagoria	platforms	MS-DOS
Phantasmagoria	platforms	Microsoft Windows
Phantasmagoria	platforms	Sega Saturn
Utopia	platforms	Intellivision
Utopia	platforms	Mattel Aquarius
Gears of War	platforms	Xbox 360
Gears of War	platforms	Microsoft Windows
Gears of War	platforms	Xbox One
Blood Omen: Legacy of Kain	platforms	PlayStation
Blood Omen: Legacy of Kain	platforms	Microsoft Windows
Faygate railway station	platforms	2
The Three Stooges	platforms	Amiga
The Three Stooges	platforms	Apple IIGS
The Three Stooges	platforms	Commodore 64
The Three Stooges	platforms	Personal computer
The Three Stooges	platforms	Nintendo Entertainment System
The Three Stooges	platforms	Game Boy Advance
The Three Stooges	platforms	PlayStation
Lost Odyssey	platforms	Xbox 360
Lords of the Rising Sun	platforms	MS-DOS
Lords of the Rising Sun	platforms	Amiga
Lords of the Rising Sun	platforms	PC Engine CD
Lords of the Rising Sun	platforms	CD-i
Project Gotham Racing 3	platforms	Xbox 360
Call of Duty 2	platforms	Microsoft Windows
Call of Duty 2	platforms	Mobile phone
Call of Duty 2	platforms	Xbox 360
Call of Duty 2	platforms	OS X
Super Punch-Out!!	platforms	Arcade game
Super Punch-Out!!	platforms	Amstrad CPC
Super Punch-Out!!	platforms	Commodore 16
Super Punch-Out!!	platforms	Commodore 64
Super Punch-Out!!	platforms	4
Super Punch-Out!!	platforms	MS-DOS
Super Punch-Out!!	platforms	ZX Spectrum
Super Punch-Out!!	platforms	Super NES
Virtua Fighter 2	platforms	Arcade game
Virtua Fighter 2	platforms	Sega Saturn
Virtua Fighter 2	platforms	Sega Genesis
Virtua Fighter 2	platforms	R-Zone
Virtua Fighter 2	platforms	PlayStation 2
Virtua Fighter 2	platforms	Microsoft Windows
Virtua Fighter 2	platforms	Virtual Console
Virtua Fighter 2	platforms	IOS
Virtua Fighter 2	platforms	PlayStation 3
Virtua Fighter 2	platforms	Xbox 360
Virtua Fighter Kids	platforms	Arcade game
Virtua Fighter Kids	platforms	Sega Saturn
Beyond Oasis	platforms	Sega Genesis
Beyond Oasis	platforms	Virtual Console
NHL 2004	platforms	Nintendo GameCube
NHL 2004	platforms	Xbox
NHL 2004	platforms	PlayStation 2
NHL 2004	platforms	Microsoft Windows
NHL 2005	platforms	Nintendo GameCube
NHL 2005	platforms	Xbox
NHL 2005	platforms	PlayStation 2
NHL 2005	platforms	Microsoft Windows
Punky Skunk	platforms	PlayStation
Rampage World Tour	platforms	Arcade game
Rampage World Tour	platforms	PlayStation
Rampage World Tour	platforms	Sega Saturn
Rampage World Tour	platforms	Nintendo 64
Rampage World Tour	platforms	Game Boy Color
Rampage World Tour	platforms	Personal computer
Rampage World Tour	platforms	PlayStation 2
Rampage World Tour	platforms	Nintendo GameCube
Rampage World Tour	platforms	PlayStation Network
Communist Mutants from Space	platforms	Atari 2600
Dungeon Lords	platforms	Personal computer
Super Off Road	platforms	Arcade game
Super Off Road	platforms	Amiga
Super Off Road	platforms	Amstrad CPC
Super Off Road	platforms	Atari ST
Super Off Road	platforms	Commodore 64
Super Off Road	platforms	MS-DOS
Super Off Road	platforms	Game Boy
Super Off Road	platforms	Game Gear
Super Off Road	platforms	Atari Lynx
Super Off Road	platforms	Master System
Super Off Road	platforms	Sega Genesis
Super Off Road	platforms	Nintendo Entertainment System
Super Off Road	platforms	Super Nintendo Entertainment System
Super Off Road	platforms	ZX Spectrum
SimTunes	platforms	Microsoft Windows
50 Cent: Bulletproof	platforms	PlayStation 2
50 Cent: Bulletproof	platforms	PlayStation Portable
50 Cent: Bulletproof	platforms	Xbox
Hellgate: London	platforms	Microsoft Windows
Super Soccer	platforms	Super Nintendo Entertainment System
Stonehouse railway station	platforms	2
Tecmo Super NBA Basketball	platforms	Super Nintendo Entertainment System
Tecmo Super NBA Basketball	platforms	Sega Genesis
Advent Shadow	platforms	PlayStation Portable
Metroid Prime Pinball	platforms	Nintendo DS
Swords of Xeen	platforms	MS-DOS
H.E.R.O.	platforms	Atari 2600
H.E.R.O.	platforms	Apple II
H.E.R.O.	platforms	Atari 5200
H.E.R.O.	platforms	Atari 8-bit family
H.E.R.O.	platforms	ColecoVision
H.E.R.O.	platforms	Commodore 64
H.E.R.O.	platforms	MSX
H.E.R.O.	platforms	Sega SG-1000
H.E.R.O.	platforms	ZX Spectrum
X: Beyond the Frontier	platforms	Microsoft Windows
X2: The Threat	platforms	Linux
X2: The Threat	platforms	Mac OS X
X2: The Threat	platforms	Microsoft Windows
Grand Theft Auto: Liberty City Stories	platforms	PlayStation Portable
Grand Theft Auto: Liberty City Stories	platforms	PlayStation 2
Grand Theft Auto: Liberty City Stories	platforms	IOS
Grand Theft Auto: Liberty City Stories	platforms	Android
Grand Theft Auto: Liberty City Stories	platforms	Fire OS
They Stole a Million	platforms	Amstrad CPC
They Stole a Million	platforms	Commodore 64
They Stole a Million	platforms	ZX Spectrum
Alan Wake	platforms	Xbox 360
Alan Wake	platforms	Microsoft Windows
Frontier: First Encounters	platforms	DOS, but with jjffe or FFED3D which also contains additional fixes, it can be played on Windows, Linux and Mac OS X
Elite: Dangerous	platforms	Microsoft Windows
Elite: Dangerous	platforms	OS X
Elite: Dangerous	platforms	Xbox One
Elite: Dangerous	platforms	PlayStation 4
Bradford Forster Square railway station	platforms	3
DartMUD	platforms	Cross-platform
4x4 Evolution	platforms	Dreamcast
4x4 Evolution	platforms	PlayStation 2
4x4 Evolution	platforms	Apple Macintosh
4x4 Evolution	platforms	Microsoft Windows
Nintendo Super System	platforms	Arcade game
MVP Baseball 2005	platforms	PlayStation 2
MVP Baseball 2005	platforms	Xbox
MVP Baseball 2005	platforms	Nintendo GameCube
MVP Baseball 2005	platforms	Microsoft Windows
MVP Baseball 2005	platforms	PlayStation Portable
Shadow Hearts: Covenant	platforms	PlayStation 2
Coffee Tycoon	platforms	Personal computer
Deep Duck Trouble Starring Donald Duck	platforms	Sega Game Gear
Deep Duck Trouble Starring Donald Duck	platforms	Sega Master System
F355 Challenge	platforms	Arcade game
F355 Challenge	platforms	Dreamcast
F355 Challenge	platforms	PlayStation 2
Ratchet: Deadlocked	platforms	PlayStation 2, PlayStation 3
The Matrix: Path of Neo	platforms	Microsoft Windows
The Matrix: Path of Neo	platforms	PlayStation 2
The Matrix: Path of Neo	platforms	Xbox
Mario & Luigi: Partners in Time	platforms	Nintendo DS
Metroid Prime 3: Corruption	platforms	Wii
Fighting Vipers	platforms	Arcade, Saturn, PlayStation 2, PlayStation 3 , Xbox 360
Cave Story	platforms	*
Cave Story	platforms	Microsoft Windows
Cave Story	platforms	Wii
Cave Story	platforms	Nintendo DSi
Cave Story	platforms	Nintendo 3DS
Cave Story	platforms	OS X
Cave Story	platforms	Linux
Iron Storm	platforms	Sega Saturn
Iron Storm	platforms	Microsoft Windows
Iron Storm	platforms	PlayStation 2
Gods and Generals	platforms	Microsoft Windows
Player Manager	platforms	Amiga
Player Manager	platforms	Atari ST
Player Manager	platforms	MS-DOS
Player Manager	platforms	PlayStation
Yeovil Pen Mill railway station	platforms	3
Mario Party 7	platforms	GameCube
Ultimate Soccer	platforms	Mega Drive
Ultimate Soccer	platforms	Sega Game Gear
Ultimate Soccer	platforms	Sega Master System
Attack of the Mutant Camels	platforms	Commodore 64
Attack of the Mutant Camels	platforms	Atari 8-bit family
Sega Rally 2	platforms	Arcade game
Sega Rally 2	platforms	Dreamcast
Sega Rally 2	platforms	Microsoft Windows
Command & Conquer: Red Alert 2	platforms	Microsoft Windows
Command & Conquer: Generals – Zero Hour	platforms	Microsoft Windows
Command & Conquer: Generals – Zero Hour	platforms	Mac OS X
Brothers in Arms: Earned in Blood	platforms	Mobile phone
Brothers in Arms: Earned in Blood	platforms	Microsoft Windows
Brothers in Arms: Earned in Blood	platforms	OS X
Brothers in Arms: Earned in Blood	platforms	Xbox
Brothers in Arms: Earned in Blood	platforms	PlayStation 2
Frogs and Flies	platforms	Atari 2600
Frogs and Flies	platforms	Intellivision
Mole Mania	platforms	Game Boy
Mole Mania	platforms	Virtual Console
Resistance: Fall of Man	platforms	PlayStation 3
Mega Man	platforms	Nintendo Entertainment System, PlayStation, mobile phones, Android, PlayStation Portable
Command & Conquer: Red Alert	platforms	MS-DOS
Command & Conquer: Red Alert	platforms	Microsoft Windows
Command & Conquer: Red Alert	platforms	PlayStation
Command & Conquer: Red Alert	platforms	PlayStation Network
Galactic Empire	platforms	Apple II
Galactic Empire	platforms	Atari 8-bit family
Galactic Empire	platforms	TRS-80
Tekken 6	platforms	Arcade game
Tekken 6	platforms	PlayStation 3
Tekken 6	platforms	Xbox 360
Tekken 6	platforms	PlayStation Portable
Tekken 6	platforms	PPSSPP
Command & Conquer: Generals	platforms	Microsoft Windows
Command & Conquer: Generals	platforms	Mac OS X
Theocracy	platforms	Microsoft Windows
Theocracy	platforms	Linux
FIFA 06	platforms	Microsoft Windows
FIFA 06	platforms	PlayStation 2
FIFA 06	platforms	PlayStation Portable
FIFA 06	platforms	Nintendo Game Cube
FIFA 06	platforms	Nintendo DS
FIFA 06	platforms	Xbox
FIFA 06	platforms	Game Boy Advance
FIFA 06	platforms	Java ME
FIFA 06	platforms	Mobile phone
Mega Man V	platforms	Game Boy
Mega Man V	platforms	Virtual Console
Voyeur	platforms	CD-i, DOS, Mac OS
Voyeur	platforms	MS-DOS
SkyRoads	platforms	DOS
Durrington-on-Sea railway station	platforms	2
Tir Na Nog	platforms	ZX Spectrum
Tir Na Nog	platforms	Amstrad CPC
Tir Na Nog	platforms	Commodore 64
Lost in Blue	platforms	Nintendo DS
Goring-by-Sea railway station	platforms	2
World Cup USA '94	platforms	Sega Genesis
World Cup USA '94	platforms	Sega CD
World Cup USA '94	platforms	Super NES
World Cup USA '94	platforms	Master System
World Cup USA '94	platforms	MS-DOS
World Cup USA '94	platforms	Amiga
World Cup USA '94	platforms	Game Gear
World Cup USA '94	platforms	Game Boy
Gran Turismo 3: A-Spec	platforms	PlayStation 2
Metal Gear Acid 2	platforms	PlayStation Portable
Little Nemo: The Dream Master	platforms	Nintendo Entertainment System
Cooksbridge railway station	platforms	2
Tails Adventure	platforms	Game Gear
Tails' Skypatrol	platforms	Sega Game Gear
Tails' Skypatrol	platforms	PlayStation 2
Tails' Skypatrol	platforms	Nintendo Gamecube
Tails' Skypatrol	platforms	Personal computer
Emperor of the Fading Suns	platforms	Microsoft Windows
3D Tetris	platforms	Virtual Boy
Super Mario Strikers	platforms	GameCube
Capcom's Gold Medal Challenge '92	platforms	Nintendo Entertainment System
Dore and Totley railway station	platforms	1
Monopoly Tycoon	platforms	Microsoft Windows
Emperor: Battle for Dune	platforms	Microsoft Windows
Dino Crisis 2	platforms	PlayStation
Dino Crisis 2	platforms	Microsoft Windows
Space Taxi	platforms	Commodore 64
Putty	platforms	Amiga
Putty	platforms	Super Nintendo Entertainment System
Putty	platforms	Amiga CD32
Digimon World	platforms	PlayStation
Taunton railway station	platforms	6
Shamus	platforms	Atari 8-bit, VIC-20, Commodore 64, IBM PC, TI-99 4A, TRS-80 Color Computer, Game Boy Color
Fenny Stratford railway station	platforms	1
Bletchley railway station	platforms	6
Petersfield railway station	platforms	2
Fratton railway station	platforms	3
Worms 3D	platforms	PlayStation 2
Worms 3D	platforms	GameCube
Worms 3D	platforms	Microsoft Windows
Worms 3D	platforms	OS X
Worms 3D	platforms	Xbox
Worms 4: Mayhem	platforms	Microsoft Windows
Worms 4: Mayhem	platforms	PlayStation 2
Worms 4: Mayhem	platforms	Xbox
Lincity	platforms	Cross-platform
Milton Keynes Central railway station	platforms	7
Wolverton railway station	platforms	4
Plaque Attack	platforms	Atari 2600
SOCOM 3	platforms	PlayStation 2
Golf	platforms	Atari 2600
Cool Spot	platforms	Sega Genesis
Cool Spot	platforms	Sega Master System
Cool Spot	platforms	Sega Game Gear
Cool Spot	platforms	Amiga
Cool Spot	platforms	Super Nintendo Entertainment System
Cool Spot	platforms	Game Boy
Cool Spot	platforms	DOS
Magic Knight Rayearth	platforms	Sega Saturn
Albert Odyssey: Legend of Eldean	platforms	Sega Saturn
Leighton Buzzard railway station	platforms	4
NASCAR Thunder 2004	platforms	Microsoft Windows
NASCAR Thunder 2004	platforms	PlayStation
NASCAR Thunder 2004	platforms	PlayStation 2
NASCAR Thunder 2004	platforms	Xbox
NASCAR Thunder 2004	platforms	GameCube
Rock 'n' Roll	platforms	Commodore 64
Rock 'n' Roll	platforms	Atari ST
Rock 'n' Roll	platforms	MS-DOS
Rock 'n' Roll	platforms	ZX Spectrum
Rock 'n' Roll	platforms	Amstrad CPC
Rock 'n' Roll	platforms	Amiga
NASCAR: Dirt to Daytona	platforms	PlayStation 2
NASCAR: Dirt to Daytona	platforms	Nintendo GameCube
Magic Pockets	platforms	Amiga
Magic Pockets	platforms	Atari ST
Magic Pockets	platforms	Acorn Archimedes
Magic Pockets	platforms	Personal computer
Decisive Battles of WWII: Korsun Pocket	platforms	Microsoft Windows
Keystone Kapers	platforms	Atari 2600
Keystone Kapers	platforms	Atari 5200
Keystone Kapers	platforms	Atari 8-bit family
Keystone Kapers	platforms	ColecoVision
Keystone Kapers	platforms	MSX
Keystone Kapers	platforms	Xbox 360
Keystone Kapers	platforms	Microsoft Windows
Psycho Pinball	platforms	Sega Mega Drive
Psycho Pinball	platforms	DOS
Deathtrap Dungeon	platforms	PlayStation
Deathtrap Dungeon	platforms	Microsoft Windows
Wylde Green railway station	platforms	2
Under Siege	platforms	Microsoft Windows
Dungeon Siege II	platforms	Microsoft Windows
Crescendo	platforms	Microsoft Windows
Kotoba no Puzzle: Mojipittan	platforms	PlayStation 2
Kotoba no Puzzle: Mojipittan	platforms	Game Boy Advance
Kotoba no Puzzle: Mojipittan	platforms	Wii U
Kotoba no Puzzle: Mojipittan	platforms	Virtual Console
Kotoba no Puzzle: Mojipittan	platforms	PlayStation Portable
Kotoba no Puzzle: Mojipittan	platforms	Nintendo DS
Kotoba no Puzzle: Mojipittan	platforms	Wii
Northampton railway station	platforms	5
Long Buckby railway station	platforms	2
Sopwith	platforms	IBM PC
Last Call	platforms	Microsoft Windows
Last Call	platforms	Mac OS
Yu Yu Hakusho: Spirit Detective	platforms	Game Boy Advance
Worlds of Ultima: The Savage Empire	platforms	DOS
Worlds of Ultima: The Savage Empire	platforms	Super Nintendo Entertainment System
Worlds of Ultima: The Savage Empire	platforms	NEC PC-9801
Worlds of Ultima: The Savage Empire	platforms	Sharp X68000
Worlds of Ultima: The Savage Empire	platforms	Microsoft Windows
Worlds of Ultima: The Savage Empire	platforms	OS X
E-Type	platforms	BBC Micro, Acorn Electron, Acorn Archimedes
E-Type	platforms	Acorn Archimedes , Risc PC
Apocalypse	platforms	Acorn Archimedes
Mad TV	platforms	Amiga
Mad TV	platforms	DOS
Warhawk	platforms	PlayStation
Warhawk	platforms	PlayStation Network
Operation: Desert Storm	platforms	Mac OS
Mini Kyodai Robo Goemon Compact	platforms	Mobile Phone
Hot Chix 'n' Gear Stix	platforms	IBM PC clone
Hot Chix 'n' Gear Stix	platforms	Microsoft Windows
Lula	platforms	Microsoft Windows
Ashen	platforms	N-Gage
Hot Shots Golf Fore!	platforms	PlayStation 2
True Swing Golf	platforms	Nintendo DS
True Swing Golf	platforms	DSiWare
Viewtiful Joe: Double Trouble!	platforms	Nintendo DS
Jak and Daxter: The Precursor Legacy	platforms	PlayStation 2
Twinworld	platforms	Amiga
Twinworld	platforms	Atari ST
Twinworld	platforms	Commodore 64
Twinworld	platforms	Acorn Archimedes
Twinworld	platforms	Amstrad CPC
Twinworld	platforms	ZX Spectrum
X3: Reunion	platforms	Linux
X3: Reunion	platforms	Mac OS X
X3: Reunion	platforms	Microsoft Windows
Silent Hill 2	platforms	PlayStation 2
Silent Hill 2	platforms	Xbox
Silent Hill 2	platforms	Microsoft Windows
Tom Clancy's Ghost Recon: Jungle Storm	platforms	PlayStation 2
Tom Clancy's Ghost Recon: Jungle Storm	platforms	N-Gage
Syphon Filter 2	platforms	PlayStation
Syphon Filter: The Omega Strain	platforms	PlayStation 2
NFL Blitz	platforms	Arcade game
NFL Blitz	platforms	PlayStation
NFL Blitz	platforms	Nintendo 64
NFL Blitz	platforms	PlayStation 3
NFL Blitz	platforms	Xbox 360
NFL Blitz	platforms	Dreamcast
NBA Showtime: NBA on NBC	platforms	Arcade game
NBA Showtime: NBA on NBC	platforms	PlayStation
NBA Showtime: NBA on NBC	platforms	Dreamcast
NBA Showtime: NBA on NBC	platforms	Nintendo 64
NBA Showtime: NBA on NBC	platforms	Game Boy Color
Atelier Iris: Eternal Mana	platforms	PlayStation 2
Huxley	platforms	Microsoft Windows
Aqua Aqua	platforms	PlayStation 2
Dragon Quest Heroes: Rocket Slime	platforms	Nintendo DS
Freedoom	platforms	Linux, Windows, OS X, MS-DOS, Android, others
Ace Lightning	platforms	PlayStation 2
Ace Lightning	platforms	IBM PC compatible
Ace Lightning	platforms	Game Boy Advance
Apeiron	platforms	Classic Mac OS
Apeiron	platforms	Mac OS X
